AS, node_degree, IP_prefix_count, class
2, 2, 12, Transit
3, 4, 290, Transit
5, 5, 24, Transit
10, 1, 5, unclassified
12, 1, 10, Transit
13, 1, 7, unclassified
24, 5, 2, Transit
32, 2, 2, Transit
34, 2, 2, Transit
35, 1, 3, Transit
42, 824, 192, Transit
47, 1, 4, unclassified
55, 1, 6, Transit
57, 23, 4, Transit
59, 3, 8, Content
62, 54, 146, Transit
64, 1, 0, Transit
70, 1, 46, Transit
71, 7, 47, Transit
72, 1, 182, unclassified
77, 12, 2, Content
81, 28, 62, Transit
88, 1, 10, unclassified
101, 86, 7, Transit
103, 1, 24, unclassified
112, 47, 2, Content
132, 1, 11, unclassified
137, 38, 75, Transit
149, 1, 5, unclassified
154, 1, 1, unclassified
160, 2, 5, Content
166, 1, 5, Transit
173, 5, 2, Transit
174, 5366, 2885, Transit
194, 17, 8, Transit
195, 7, 27, Transit
206, 3, 32, Transit
209, 1892, 3683, Transit
210, 5, 43, Transit
224, 31, 14, Transit
226, 62, 92, Transit
237, 41, 55, Transit
250, 4, 4, Content
260, 517, 17, Transit
270, 11, 28, Transit
271, 17, 59, Transit
276, 17, 5, Transit
278, 2, 133, Content
286, 730, 54, Transit
293, 142, 1, Transit
297, 14, 14, Transit
302, 8, 12, Transit
306, 51, 139, Transit
309, 1, 7, unclassified
310, 1, 39, unclassified
311, 1, 1, unclassified
313, 1, 7, unclassified
329, 1, 6, unclassified
345, 1, 2, unclassified
367, 10, 58, Content
376, 25, 278, Transit
378, 1, 28, Transit
385, 2, 306, Transit
400, 1, 2, Transit
493, 1, 0, Transit
495, 1, 8, Transit
513, 43, 19, Transit
531, 1, 21, unclassified
549, 20, 10, Transit
553, 785, 48, Transit
557, 3, 20, Transit
558, 4, 14, Transit
559, 61, 111, Transit
567, 7, 0, Transit
577, 293, 5762, Transit
600, 60, 90, Transit
603, 6, 43, Transit
615, 1, 1, unclassified
637, 1, 293, unclassified
668, 26, 1, Transit
670, 1, 1, unclassified
671, 1, 1, unclassified
672, 1, 1, unclassified
673, 1, 1, unclassified
680, 360, 256, Transit
681, 1, 5, unclassified
684, 1, 2, Transit
701, 1234, 1551, Transit
702, 286, 199, Transit
703, 98, 106, Transit
706, 2, 26, Transit
714, 134, 816, Transit
715, 2, 21, Transit
719, 46, 166, Transit
721, 4, 268, Transit
724, 2, 12, Transit
745, 7, 12, Transit
760, 2, 7, Transit
766, 59, 38, Transit
768, 18, 186, Transit
779, 2, 0, Transit
781, 1, 1, Transit
786, 237, 185, Transit
797, 1, 57, Transit
803, 28, 79, Transit
806, 1, 19, unclassified
812, 158, 507, Transit
818, 1, 1, Transit
819, 11, 21, Transit
852, 426, 733, Transit
855, 33, 884, Transit
1101, 10, 13, Transit
1103, 1270, 94, Transit
1120, 16, 3, Transit
1126, 67, 5, Transit
1136, 209, 423, Transit
1140, 47, 3, Transit
1200, 437, 4, Content
1213, 26, 15, Transit
1215, 1, 1, Transit
1217, 2, 9, Transit
1221, 321, 558, Transit
1224, 2, 3, Content
1226, 3, 27, Transit
1237, 122, 170, Transit
1239, 451, 179, Transit
1241, 98, 74, Transit
1248, 499, 11, Transit
1251, 51, 78, Transit
